,url,image_url
0,https://www.deviantart.com/xghostwheelx/art/Pose-study-couples-591591753,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/20169a76-7a22-4811-a7c9-8dc3c44ec144/d9s7v49-a93bab39-8811-47d7-a0ef-4129d1ac8af4.jpg/v1/fill/w_1024,h_965,q_75,strp/pose_study___couples_by_xghostwheelx_d9s7v49-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9OTY1IiwicGF0aCI6IlwvZlwvMjAxNjlhNzYtN2EyMi00ODExLWE3YzktOGRjM2M0NGVjMTQ0XC9kOXM3djQ5LWE5M2JhYjM5LTg4MTEtNDdkNy1hMGVmLTQxMjlkMWFjOGFmNC5qcGciLCJ3aWR0aCI6Ijw9MTAyNCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.MNFoV7ZBDe8FigPh-BR-DNaUb7-1-5BPK76xaJc0DlU"
1,https://www.deviantart.com/xghostwheelx/art/Pose-study-female-figure-591816965,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/20169a76-7a22-4811-a7c9-8dc3c44ec144/d9scow5-81685d1c-ee8c-47f7-bee4-4c35ae2d821c.jpg/v1/fill/w_1024,h_277,q_75,strp/pose_study___female_figure_by_xghostwheelx_d9scow5-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9Mjc3IiwicGF0aCI6IlwvZlwvMjAxNjlhNzYtN2EyMi00ODExLWE3YzktOGRjM2M0NGVjMTQ0XC9kOXNjb3c1LTgxNjg1ZDFjLWVlOGMtNDdmNy1iZWU0LTRjMzVhZTJkODIxYy5qcGciLCJ3aWR0aCI6Ijw9MTAyNCJ9XV0sImF1ZCI6WyJ1cm46c2VydmljZTppbWFnZS5vcGVyYXRpb25zIl19.MA-x0_Jr6I4AfKFAnGYZimd5fxFWtItz2xShSq7PcMA"
2,https://www.deviantart.com/xghostwheelx/art/Pose-study-man-in-action-589733597,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/20169a76-7a22-4811-a7c9-8dc3c44ec144/d9r41ct-9a766d7b-72bb-45ea-b622-b2e062689322.jpg/v1/fill/w_1024,h_1024,q_75,strp/pose_study___man_in_action_by_xghostwheelx_d9r41ct-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTAyNCIsInBhdGgiOiJcL2ZcLzIwMTY5YTc2LTdhMjItNDgxMS1hN2M5LThkYzNjNDRlYzE0NFwvZDlyNDFjdC05YTc2NmQ3Yi03MmJiLTQ1ZWEtYjYyMi1iMmUwNjI2ODkzMjIuanBnIiwid2lkdGgiOiI8PTEwMjQifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.hUyArIj0nNrFkzSPyKpvkkoiVEQD7MZ_XSRw1JWHqNw"
3,https://www.deviantart.com/courtneysconcepts/art/Poses-With-Basic-Bone-Structure-562213012,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/fd5378ca-d2ca-4a7a-91bb-20d176ce3c42/d9aq6c4-00466244-6018-4f82-958f-5502ef05ac3b.jpg/v1/fill/w_1600,h_1089,q_75,strp/poses_with_basic_bone_structure_by_courtneysconcepts_d9aq6c4-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9MTA4OSIsInBhdGgiOiJcL2ZcL2ZkNTM3OGNhLWQyY2EtNGE3YS05MWJiLTIwZDE3NmNlM2M0MlwvZDlhcTZjNC0wMDQ2NjI0NC02MDE4LTRmODItOTU4Zi01NTAyZWYwNWFjM2IuanBnIiwid2lkdGgiOiI8PTE2MDAifV1dLCJhdWQiOlsidXJuOnNlcnZpY2U6aW1hZ2Uub3BlcmF0aW9ucyJdfQ.ssTGFFqvzVU_RXKY47gzKj5ByCNAZ3R3gXiPQRDKCWQ"
4,https://www.deviantart.com/anastasia-berry/art/Poses-Reference-2-female-633453725,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/162534e8-cf5c-4619-a70d-470a067246af/dah540t-67073082-3886-4c80-b16d-7ae2ec65cbb8.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzE2MjUzNGU4LWNmNWMtNDYxOS1hNzBkLTQ3MGEwNjcyNDZhZlwvZGFoNTQwdC02NzA3MzA4Mi0zODg2LTRjODAtYjE2ZC03YWUyZWM2NWNiYjguanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.TofXHcsWGC7UdVN9QWyLjgoDH8F9K4etlgPF1y3K0qc
5,https://www.deviantart.com/anastasia-berry/art/Poses-Reference-6-female-643933916,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/162534e8-cf5c-4619-a70d-470a067246af/dandql8-0dfe9041-1b75-4126-a93c-2c92197de625.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzE2MjUzNGU4LWNmNWMtNDYxOS1hNzBkLTQ3MGEwNjcyNDZhZlwvZGFuZHFsOC0wZGZlOTA0MS0xYjc1LTQxMjYtYTkzYy0yYzkyMTk3ZGU2MjUuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.w5DvHjouSlEB8mGD-rT3ejluQOD5uEPbjWusCBm94nw
6,https://www.deviantart.com/anastasia-berry/art/Poses-Reference-18-female-male-661904160,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/162534e8-cf5c-4619-a70d-470a067246af/day2wio-a2ee9c55-f128-4153-8c67-ab847107b104.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzE2MjUzNGU4LWNmNWMtNDYxOS1hNzBkLTQ3MGEwNjcyNDZhZlwvZGF5Mndpby1hMmVlOWM1NS1mMTI4LTQxNTMtOGM2Ny1hYjg0NzEwN2IxMDQuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.caClu6G5c9kel5B4rFLbI_kAjP1CtFBposWZPuYJd94
7,https://www.deviantart.com/anastasia-berry/art/Poses-Reference-4-female-638728009,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/162534e8-cf5c-4619-a70d-470a067246af/daka5op-1718f958-b84b-445c-a64e-f110c33f64cf.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzE2MjUzNGU4LWNmNWMtNDYxOS1hNzBkLTQ3MGEwNjcyNDZhZlwvZGFrYTVvcC0xNzE4Zjk1OC1iODRiLTQ0NWMtYTY0ZS1mMTEwYzMzZjY0Y2YuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.lvQOBlH6UMOcQpHEQ84p6ICXmgJFkQAt9IXJXTD90FQ
8,https://www.deviantart.com/anastasia-berry/art/Poses-Reference-8-female-649023555,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/162534e8-cf5c-4619-a70d-470a067246af/daqets3-9d928a12-811f-49ba-92a8-0988e5621c9a.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzE2MjUzNGU4LWNmNWMtNDYxOS1hNzBkLTQ3MGEwNjcyNDZhZlwvZGFxZXRzMy05ZDkyOGExMi04MTFmLTQ5YmEtOTJhOC0wOTg4ZTU2MjFjOWEuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.N_W6h5s9w-Oyzlh7gGNQkt89zcreaZjjUmKGVJZrmPo
9,https://www.deviantart.com/anastasia-berry/art/Poses-Reference-17-female-673485159,https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/162534e8-cf5c-4619-a70d-470a067246af/db4z4h3-18aea8a7-a0ff-4602-993b-c1a5dee38632.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7InBhdGgiOiJcL2ZcLzE2MjUzNGU4LWNmNWMtNDYxOS1hNzBkLTQ3MGEwNjcyNDZhZlwvZGI0ejRoMy0xOGFlYThhNy1hMGZmLTQ2MDItOTkzYi1jMWE1ZGVlMzg2MzIuanBnIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmZpbGUuZG93bmxvYWQiXX0.du59XuFt3cABbRjyCgS4lU7XyrUnY4S_Gn_gB6X2USM
